Calibration values (ps) from cell 0 to 1024 :

00179.151	00179.353	00179.554	00179.755	00179.957	00180.158	00180.359	00180.561	cell = 896 to 903
00180.762	00180.963	00181.165	00181.366	00181.567	00181.769	00181.970	00182.172	cell = 904 to 911
00182.373	00182.575	00182.776	00182.978	00183.179	00183.381	00183.582	00183.784	cell = 912 to 919
00183.986	00184.187	00184.389	00184.591	00184.792	00184.994	00185.195	00185.396	cell = 920 to 927
00185.597	00185.798	00185.999	00186.199	00186.400	00186.600	00186.800	00187.000	cell = 928 to 935
00187.200	00187.400	00187.600	00187.800	00188.000	00188.200	00188.400	00188.600	cell = 936 to 943
00188.800	00189.000	00189.200	00189.400	00189.600	00189.800	00190.000	00190.200	cell = 944 to 951
00190.400	00190.600	00190.800	00191.000	00191.200	00191.400	00191.599	00191.799	cell = 952 to 959
00191.999	00192.199	00192.399	00192.599	00192.799	00192.999	00193.199	00193.399	cell = 960 to 967
00193.599	00193.800	00194.000	00194.200	00194.400	00194.600	00194.800	00195.000	cell = 968 to 975
00195.201	00195.401	00195.601	00195.801	00196.001	00196.201	00196.401	00196.602	cell = 976 to 983
00196.802	00197.003	00197.203	00197.404	00197.604	00197.805	00198.005	00198.206	cell = 984 to 991
00198.406	00198.607	00198.807	00199.008	00199.208	00199.409	00199.610	00199.810	cell = 992 to 999
00200.011	00200.212	00200.413	00200.613	00200.814	00201.015	00201.216	00201.416	cell = 1000 to 1007
00201.617	00201.817	00202.017	00202.217	00202.417	00202.616	00202.815	00203.014	cell = 1008 to 1015
00203.213	00203.412	00203.611	00203.810	00204.008	00204.206	00204.404	00204.602	cell = 1016 to 1023
